%index, %time, %length,,t1,t2,b1,b2
119,1408134926,1408134926,8192,5.28467989,5.284749985,826630.861,826630.861
120,1408134926,1408134926,8192,5.294529915,5.294589996,831673.0011,832519.3441
121,1408134926,1408134926,8192,5.30437994,5.304439783,831673.0011,831693.1321
122,1408134926,1408134926,8192,5.314239979,5.314299822,830828.3772,830828.3772
123,1408134926,1408134926,8192,5.324090004,5.324149847,831673.0011,831673.0011
124,1408134926,1408134926,8192,5.333930016,5.333999872,832519.3441,831673.0011
125,1408134926,1408134926,8192,5.343779802,5.343839884,831693.1321,832519.3441
126,1408134926,1408134926,8192,5.353619814,5.353679895,832519.3441,832519.3441
127,1408134926,1408134926,8192,5.363479853,5.363549948,830828.3772,829985.4671
128,1408134926,1408134926,8192,5.373749971,5.373819828,797653.8761,797672.3939
129,1408134926,1408134926,8192,5.383619785,5.38368988,830005.5165,829985.4671
130,1408134926,1408134926,8192,5.39346981,5.393529892,831673.0011,832519.3441
131,1408134926,1408134926,8192,5.403389931,5.403450012,825796.4422,825796.4422
132,1408134926,1408134926,8192,5.413229942,5.413289785,832519.3441,832539.5161
133,1408134926,1408134926,8192,5.423139811,5.423199892,826650.7487,826630.861
134,1408134926,1408134926,8192,5.432979822,5.433049917,832519.3441,831673.0011
135,1408134926,1408134926,8192,5.442829847,5.442889929,831673.0011,832519.3441
136,1408134926,1408134926,8192,5.452679873,5.452749968,831673.0011,830828.3772
137,1408134926,1408134926,8192,5.462549925,5.462610006,829985.4671,830828.3772
138,1408134926,1408134926,8192,5.47239995,5.472469807,831673.0011,830848.4674
139,1408134926,1408134926,8192,5.482249975,5.482309818,831673.0011,832519.3441
140,1408134926,1408134926,8192,5.492089987,5.49214983,832519.3441,832519.3441
141,1408134926,1408134926,8192,5.501949787,5.502019882,830848.4674,829985.4671
142,1408134926,1408134926,8192,5.511799812,5.51184988,831673.0011,833367.4113
143,1408134926,1408134926,8192,5.521639824,5.521699905,832519.3441,831673.0011
144,1408134926,1408134926,8192,5.531489849,5.531549931,831673.0011,831673.0011
